round,coop_rate,attack_success_rate,avg_def_pay,attacker_q
0,0.590625,1.0,-3.94375,0.4
10,0.92875,0.9516129032258065,6.959375,0.4
20,0.993125,0.4666666666666667,11.46875,0.4
30,1.0,0.0,10.5,0.4
40,1.0,0.0,11.3,0.4
50,1.0,0.0,10.55,0.4
60,1.0,0.0,11.425,0.4
70,1.0,0.0,11.6,0.4
80,1.0,0.0,11.1,0.4
90,1.0,0.0,10.7,0.4
100,1.0,0.0,11.05,0.4
110,1.0,0.0,11.05,0.4
120,1.0,0.0,11.625,0.4
130,1.0,0.0,11.775,0.4
140,1.0,0.0,10.9,0.4
150,1.0,0.0,10.85,0.4
160,1.0,0.0,11.675,0.4
170,1.0,0.0,10.15,0.4
180,1.0,0.0,10.825,0.4
190,1.0,0.0,10.75,0.4
200,1.0,0.0,11.1,0.4
210,1.0,0.0,10.675,0.4
220,1.0,0.0,11.3,0.4
230,1.0,0.0,11.6,0.4
240,1.0,0.0,10.6,0.4
250,1.0,0.0,10.95,0.4
260,1.0,0.0,11.825,0.4
270,1.0,0.0,10.225,0.4
280,1.0,0.0,10.575,0.4
290,1.0,0.0,11.35,0.4
300,1.0,0.0,10.45,0.4
310,1.0,0.0,11.275,0.4
320,1.0,0.0,10.15,0.4
330,1.0,0.0,10.625,0.4
340,1.0,0.0,11.15,0.4
350,1.0,0.0,11.175,0.4
360,1.0,0.0,10.925,0.4
370,1.0,0.0,10.775,0.4
380,1.0,0.0,10.575,0.4
390,1.0,0.0,10.925,0.4
400,1.0,0.0,11.0,0.4
410,1.0,0.0,11.275,0.4
420,1.0,0.0,11.3,0.4
430,1.0,0.0,10.875,0.4
440,1.0,0.0,11.525,0.4
450,1.0,0.0,11.075,0.4
460,1.0,0.0,10.6,0.4
470,1.0,0.0,11.275,0.4
480,1.0,0.0,10.675,0.4
490,1.0,0.0,10.1,0.4
500,1.0,0.0,9.675,0.4
510,1.0,0.0,10.7,0.4
